id,announcement_id,exchange,ticker,published_at,doc_type,issuer_price_sensitive_flag,label_materiality,label_categories,label_evidence_span,label_rationale,slice_tag,difficulty,labelled_at,labeller,pass_number,headline,native_doc_type,char_count,truncated,source_url
1,5e5c04c3d262d27faabc1cd7c98da97c09c11127a539fc34c93a8493c66407cc,EDGAR,BAC,2026-07-31T21:23:25+00:00,capital_raise,,,,,,,,,,,424B2,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022197/form424b2.htm
2,027e09e1d11277d82d843b707035b509646208200a6ed2ec95da3434ccbf84a5,EDGAR,AMZN,2026-07-31T21:23:03+00:00,m_and_a,,,,,,,,,,,S-4,S-4,59999,true,https://www.sec.gov/Archives/edgar/data/1018724/000110465926089294/tm2617924-1_s4.htm
3,15e5e914593c74136a7fe428d588061330e51b728e70c8991845b28771681681,EDGAR,BAC,2026-07-31T21:22:42+00:00,capital_raise,,,,,,,,,,,424B2,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022196/form424b2.htm
4,e65da3461d6d290082b35e58f8047eeb86594d93091984450babe07fa453e260,EDGAR,BAC,2026-07-31T21:22:11+00:00,capital_raise,,,,,,,,,,,424B2,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022195/form424b2.htm
5,0e194ec968478779d2611faf0114618651e96d7eb254937db6aac40beb824dd9,EDGAR,BAC,2026-07-31T21:21:51+00:00,capital_raise,,,,,,,,,,,424B2,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022194/form424b2.htm
6,39d5954020cb35a1c86205e45ba2c8c012521f8e656a9d14a00d4a66ad179063,EDGAR,JPM,2026-07-31T21:18:09+00:00,capital_raise,,,,,,,,,,,FACT SHEET,FWP,9978,false,https://www.sec.gov/Archives/edgar/data/19617/000121390026084107/ea0300045-01_fwp.htm
7,4787efac4dd0e27baa6c0a6544151da05f272294032250669549eaddd5155935,EDGAR,JPM,2026-07-31T21:13:46+00:00,capital_raise,,,,,,,,,,,PRELIMINARY PRICING SUPPLEMENT,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/19617/000121390026084098/ea0300137-01_424b2.htm
8,f046e00e810270183ac83adeb0fc5540b6ba6f065377b5101a60d7e6edba4053,EDGAR,JPM,2026-07-31T21:12:21+00:00,capital_raise,,,,,,,,,,,PRELIMINARY PRICING SUPPLEMENT,424B2,45812,false,https://www.sec.gov/Archives/edgar/data/19617/000121390026084095/ea0300162-01_424b2.htm
9,e612ab37db29a4639cf139df9d0d5c44c2e0f5b538212b80b099d1c5ff9be4b6,EDGAR,BAC,2026-07-31T21:12:15+00:00,capital_raise,,,,,,,,,,,424B2,424B2,60000,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022189/form424b2.htm
10,d9352012dd1594740bada5456e2c636f166f4a292372f50d10a0528f8759c520,EDGAR,BAC,2026-07-31T21:12:08+00:00,capital_raise,,,,,,,,,,,424B2,424B2,60000,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022188/form424b2.htm
11,ae575d59db1c14b3ec261879ddcaad2cb732dc9175d039e04f53bbe5c2c67fe4,EDGAR,BAC,2026-07-31T21:02:55+00:00,capital_raise,,,,,,,,,,,424B2,424B2,60000,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022184/form424b2.htm
12,cf95eb773caf4ef9e2ab5431a571272c05a0f34c2298d2bc7c7781918236537c,EDGAR,BAC,2026-07-31T20:58:39+00:00,capital_raise,,,,,,,,,,,424B2,424B2,59999,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022182/form424b2.htm
13,48f68cefd5f11271916802e48f59059d5565a1a06ed6d01df001d27e657ca9cf,EDGAR,JPM,2026-07-31T20:58:16+00:00,capital_raise,,,,,,,,,,,FORM 424B3,424B3,13606,false,https://www.sec.gov/Archives/edgar/data/19617/000121390026084070/ea0300155-01_424b3.htm
14,da59b81611d39dd7de918c7fdf2a003c61f4eea31915ae0512734f4a8004de2e,EDGAR,BAC,2026-07-31T20:58:14+00:00,capital_raise,,,,,,,,,,,424B2,424B2,60000,true,https://www.sec.gov/Archives/edgar/data/70858/000191870426022181/form424b2.htm
15,64fb1cfa7baaba05002ac007918b71bdd85f6d8e13e4a7df4cb7a2c93a5cd819,EDGAR,BAC,2026-07-31T20:51:35+00:00,capital_raise,,,,,,,,,,,FWP,FWP,10368,false,https://www.sec.gov/Archives/edgar/data/70858/000191870426022176/formfwp-bac.htm
16,7fd1b1e4b415e73446947da0776654078cf0e9c733e15163d8513924d1257cb2,EDGAR,META,2026-07-31T20:49:54+00:00,director_dealing,,,,,,,,,,,144 filing,144,3992,false,https://www.sec.gov/Archives/edgar/data/1326801/000192109426000778/xsl144X01/primary_doc.xml
17,e13c44d60238fa6f9a57a0b2aa2372f6ff91ca21e1d2593179f4ef1e44f742c0,EDGAR,BAC,2026-07-31T20:44:20+00:00,earnings_result,,,,,,,,,,,10-Q,10-Q,60000,true,https://www.sec.gov/Archives/edgar/data/70858/000007085826000394/bac-20260630.htm
18,b3becbf4e682d36772911639c77815e8d316502b0b9c69075a27ce488de2fbea,EDGAR,KO,2026-07-31T20:25:00+00:00,director_dealing,,,,,,,,,,,144 filing,144,3580,false,https://www.sec.gov/Archives/edgar/data/21344/000195004726007471/xsl144X01/primary_doc.xml
19,dbcf3dd5f917239c1fdc486f44c9d84d236f8dc97f84045f91c1cf450383e2e5,EDGAR,JPM,2026-07-31T16:33:06+00:00,capital_raise,,,,,,,,,,,FACT SHEET,FWP,10724,false,https://www.sec.gov/Archives/edgar/data/19617/000121390026083785/ea0300048-01_fwp.htm
20,f5c50c8eed345c6d96206c619fb111ee4ead99b5043adc4810137349fd041551,EDGAR,BAC,2026-07-31T15:59:41+00:00,capital_raise,,,,,,,,,,,FWP,FWP,9637,false,https://www.sec.gov/Archives/edgar/data/70858/000191870426022092/formfwp-bac.htm
